Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHolding Cost,AccumulativeBacklogging Cost
35,653.1,7.627,413.1,123.5,134.5,5.597,4.06,1.19E+04,2797,3450,211.5,1340
36,667.3,6.207,430.1,126.3,140.6,3.968,4.478,1.23E+04,2924,3591,215.5,1344
37,682.2,7.427,441.9,128.7,143.6,3.671,7.513,1.28E+04,3052,3735,219.1,1352
38,695.7,7.885,447.4,131.4,144.9,3.123,9.525,1.32E+04,3184,3879,222.3,1361
39,708.7,6.79,453,134.3,147.2,2.341,8.897,1.37E+04,3318,4027,224.6,1370
40,722.8,7.339,464.8,136.5,150.6,1.622,11.43,1.41E+04,3454,4177,226.2,1382
41,735.4,8.144,467.9,138.9,151.5,2.836,10.62,1.46E+04,3593,4329,229.1,1392
42,747.3,7.408,472.2,141.6,153.6,3.439,7.939,1.51E+04,3735,4482,232.5,1400
43,760.1,7.054,480.7,144,156.8,3.734,6.64,1.56E+04,3879,4639,236.2,1407
44,772.9,7.999,488.1,146.1,159,4.773,6.452,1.61E+04,4025,4798,241,1413
45,783.5,9.835,493.3,149.4,160,6.268,7.134,1.65E+04,4175,4958,247.3,1420
46,797.1,7.436,507.7,152.3,165.8,4.684,5.503,1.71E+04,4327,5124,252,1426
47,812.7,9.347,521.7,153.9,169.5,5.486,7.721,1.76E+04,4481,5293,257.5,1434
48,822.8,6.489,513.6,157.8,168,3.515,5.948,1.81E+04,4639,5461,261,1440
49,838.5,5.923,535.7,159.9,175.6,2.767,6.312,1.86E+04,4798,5637,263.7,1446
50,852.2,5.917,536.7,161.9,175.6,1.82,8.195,1.92E+04,4960,5813,265.6,1454
51,863.5,6.217,537.9,164.7,176,2.543,7.349,1.97E+04,5125,5989,268.1,1461
52,875.1,6.617,546.7,167.6,179.1,3.705,5.824,2.02E+04,5293,6168,271.8,1467
53,889,7.919,563.5,169.8,183.7,3.499,8.84,2.08E+04,5462,6351,275.3,1476
54,901.8,8.414,566.4,172.2,185,5.409,6.011,2.14E+04,5635,6536,280.7,1482
55,913.8,8.858,572.5,174.9,186.9,5.988,5.741,2.19E+04,5809,6723,286.7,1488
56,926.3,7.27,579.6,177.4,189.8,4.511,5.519,2.25E+04,5987,6913,291.2,1493
57,938.9,4.394,584.3,180.1,192.7,2.571,3.647,2.31E+04,6167,7106,293.8,1497
58,952.1,6.317,596,182.7,195.8,4.058,4.517,2.37E+04,6350,7302,297.8,1502
59,965.6,5.912,602.9,184.8,198.3,3.942,3.939,2.43E+04,6534,7500,301.8,1505
60,977.1,7.506,608.4,187.7,199.2,4.332,6.347,2.49E+04,6722,7699,306.1,1512
61,989.9,7.042,620.2,190.5,203.3,3.749,6.587,2.55E+04,6913,7903,309.9,1518
62,1004,7.636,632,192.9,206.9,3.947,7.379,2.62E+04,7106,8109,313.8,1526
63,1017,7.055,635.7,195,208.6,4.063,5.983,2.68E+04,7301,8318,317.9,1532
64,1028,4.787,633.2,197.9,208.9,3.144,3.285,2.74E+04,7498,8527,321,1535
65,1041,4.73,646.3,200.4,213.1,2.52,4.42,2.81E+04,7699,8740,323.5,1539
66,1055,7.445,658.3,202.3,215.9,4.386,6.117,2.87E+04,7901,8956,327.9,1546
67,1066,7.129,656.7,204.9,215.9,5.231,3.796,2.94E+04,8106,9172,333.2,1549
68,1077,8.357,667,207.4,218.9,6.412,3.89,3.01E+04,8314,9391,339.6,1553
69,1089,7.749,675.9,209.8,222,5.645,4.209,3.07E+04,8523,9613,345.2,1557
70,1102,6.253,681.7,212.6,224.8,5.143,2.221,3.14E+04,8736,9838,350.4,1560
71,1114,6.757,692.8,215.6,228.3,5.579,2.358,3.21E+04,8952,1.01E+04,355.9,1562
72,1129,5.564,704,218,232.3,3.913,3.301,3.28E+04,9170,1.03E+04,359.8,1565
73,1142,6.669,712.6,221.1,234.2,3.388,6.561,3.35E+04,9391,1.05E+04,363.2,1572
74,1157,5.436,722.5,223.1,238,2.227,6.417,3.43E+04,9614,1.08E+04,365.5,1578
75,1169,7.536,725.9,225.5,237.9,2.936,9.201,3.50E+04,9839,1.10E+04,368.4,1588
76,1180,8.643,733,228.3,239.7,3.483,10.32,3.57E+04,1.01E+04,1.13E+04,371.9,1598
77,1194,8.399,742.7,230.3,243.4,4.342,8.112,3.65E+04,1.03E+04,1.15E+04,376.2,1606
78,1205,7.299,743.4,233.1,244.4,4.346,5.906,3.72E+04,1.05E+04,1.17E+04,380.6,1612
79,1218,8.595,756,235.6,248.3,6.193,4.805,3.80E+04,1.08E+04,1.20E+04,386.8,1617
80,1230,7.14,760.5,238.2,250.5,5.325,3.63,3.87E+04,1.10E+04,1.22E+04,392.1,1620
81,1243,7.384,771.1,240.3,253.8,5.151,4.466,3.95E+04,1.13E+04,1.25E+04,397.2,1625
82,1256,9.024,774.7,242.1,254.4,6.614,4.82,4.03E+04,1.15E+04,1.27E+04,403.9,1630
83,1265,8.08,774,245.2,254.5,5.724,4.712,4.10E+04,1.17E+04,1.30E+04,409.6,1634
84,1278,7.819,789.8,247.1,260.1,6.191,3.255,4.18E+04,1.20E+04,1.33E+04,415.8,1638
85,1290,8.098,792.2,249.3,261,6.924,2.348,4.26E+04,1.22E+04,1.35E+04,422.7,1640
86,1300,10.08,800.3,252.3,262.9,8.69,2.773,4.34E+04,1.25E+04,1.38E+04,431.4,1643
87,1314,10.22,813.3,254,267.3,8.978,2.475,4.42E+04,1.27E+04,1.41E+04,440.4,1645
88,1324,9.076,812.7,256.6,267.3,7.359,3.436,4.50E+04,1.30E+04,1.43E+04,447.7,1649
89,1336,8.57,821.9,259.1,270.8,7.61,1.919,4.59E+04,1.33E+04,1.46E+04,455.3,1651
90,1348,8.201,829.5,261.1,273.5,7.372,1.659,4.67E+04,1.35E+04,1.49E+04,462.7,1652
91,1359,6.877,831.4,263.6,274.7,6.395,0.9658,4.75E+04,1.38E+04,1.51E+04,469.1,1653
92,1371,7.822,840.8,266.3,277.5,7.347,0.9504,4.84E+04,1.40E+04,1.54E+04,476.4,1654
93,1383,8.66,854.5,268.9,281.4,6.997,3.327,4.92E+04,1.43E+04,1.57E+04,483.4,1657
94,1397,7.837,862.4,270.7,284.5,6.656,2.362,5.01E+04,1.46E+04,1.60E+04,490.1,1660
95,1403,6.741,845,273.6,279.2,6.035,1.412,5.09E+04,1.49E+04,1.63E+04,496.1,1661
96,1127,7.979,9.87,275.8,0,6.088,3.782,5.09E+04,1.51E+04,1.63E+04,502.2,1665
97,848.7,8.623,11.09,278,0,6.159,4.928,5.10E+04,1.54E+04,1.63E+04,508.4,1670
98,568,9.079,11.45,280.8,0,6.713,4.732,5.10E+04,1.57E+04,1.63E+04,515.1,1675
99,284.6,7.19,8.091,283.4,0,6.289,1.802,5.10E+04,1.60E+04,1.63E+04,521.4,1676
100,-1.271,8.311,13.1,285.8,0,3.52,9.582,5.10E+04,1.63E+04,1.63E+04,524.9,1686
