Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHolding Cost,AccumulativeBacklogging Cost
37,1155,17.11,753.6,214.9,243.8,12.09,10.04,1.90E+04,4590,5745,317.3,1423
38,1181,16.31,761.1,219.8,246.1,9.815,12.98,1.97E+04,4810,5991,327.1,1436
39,1206,14.62,769.2,224.2,249.4,8.105,13.02,2.05E+04,5034,6240,335.3,1449
40,1228,12.29,769.2,229,250.8,7.811,8.95,2.13E+04,5263,6491,343.1,1458
41,1251,11.63,789.9,234.4,258,7.414,8.431,2.21E+04,5498,6749,350.5,1466
42,1279,15.91,820.1,239.1,266.7,11.94,7.945,2.29E+04,5737,7016,362.4,1474
43,1302,16.05,819.9,244.1,266.9,13.01,6.084,2.37E+04,5981,7283,375.4,1480
44,1327,16.31,842.7,249.5,274.4,13.07,6.485,2.46E+04,6230,7557,388.5,1487
45,1354,12.15,860,254,281.7,9.403,5.489,2.54E+04,6484,7839,397.9,1492
46,1377,12.08,857.9,258.8,280.9,8.971,6.212,2.63E+04,6743,8120,406.9,1498
47,1400,12.27,877.7,263.9,287.9,10.46,3.619,2.71E+04,7007,8408,417.3,1502
48,1426,13.22,900.7,269.1,294.7,9.832,6.779,2.80E+04,7276,8702,427.2,1509
49,1452,14.7,919.6,274.2,300.3,10.65,8.098,2.90E+04,7551,9003,437.8,1517
50,1478,15.36,932.7,279.1,304.8,12.31,6.113,2.99E+04,7830,9307,450.1,1523
51,1502,12.57,940.3,284.4,308.1,9.175,6.787,3.08E+04,8114,9615,459.3,1530
52,1529,14.18,967.9,289.2,316.3,9.327,9.702,3.18E+04,8403,9932,468.6,1539
53,1553,12.99,970.6,293.5,318,9.324,7.324,3.28E+04,8697,1.03E+04,477.9,1547
54,1574,12.64,974.1,298.8,319.6,9.898,5.475,3.38E+04,8995,1.06E+04,487.8,1552
55,1600,12.57,1006,303.8,330.3,10.36,4.42,3.48E+04,9299,1.09E+04,498.2,1557
56,1625,10.72,1013,308.6,333.7,9.186,3.073,3.58E+04,9608,1.12E+04,507.4,1560
57,1649,11.4,1025,314.4,337.7,10.47,1.846,3.68E+04,9922,1.16E+04,517.9,1562
58,1679,10.73,1059,319,349,9.614,2.225,3.79E+04,1.02E+04,1.19E+04,527.5,1564
59,1702,8.866,1052,323.7,347.1,6.63,4.472,3.89E+04,1.06E+04,1.23E+04,534.1,1568
60,1725,13.73,1072,328.4,351.4,10.03,7.402,4.00E+04,1.09E+04,1.26E+04,544.1,1576
61,1748,14.73,1089,334.3,356.7,10.22,9.016,4.11E+04,1.12E+04,1.30E+04,554.4,1585
62,1778,14.85,1129,339.5,369.6,9.39,10.91,4.22E+04,1.16E+04,1.33E+04,563.7,1596
63,1804,13.89,1129,344.7,370.6,11.08,5.614,4.33E+04,1.19E+04,1.37E+04,574.8,1601
64,1830,15.34,1148,349.8,376,10.44,9.804,4.45E+04,1.23E+04,1.41E+04,585.3,1611
65,1855,20.22,1171,354.8,380.4,11.18,18.09,4.56E+04,1.26E+04,1.45E+04,596.4,1629
66,1880,15.01,1177,359.7,384.7,7.028,15.97,4.68E+04,1.30E+04,1.49E+04,603.5,1645
67,1905,13.99,1188,364.9,389.5,8.873,10.24,4.80E+04,1.33E+04,1.53E+04,612.3,1655
68,1931,13.86,1206,369.9,395.7,9.139,9.433,4.92E+04,1.37E+04,1.56E+04,621.5,1665
69,1957,10.5,1214,374.6,400.3,8.195,4.611,5.04E+04,1.41E+04,1.60E+04,629.7,1669
70,1979,12.8,1223,380,402.3,9.586,6.438,5.17E+04,1.45E+04,1.64E+04,639.3,1676
71,2006,10.58,1250,384.9,412.4,8.365,4.436,5.29E+04,1.49E+04,1.69E+04,647.6,1680
72,2032,12.79,1261,389.5,414.9,9.456,6.659,5.42E+04,1.52E+04,1.73E+04,657.1,1687
73,2054,10.89,1264,394.8,417.1,8.957,3.857,5.54E+04,1.56E+04,1.77E+04,666,1691
74,2080,11.03,1292,400,426.4,9.177,3.703,5.67E+04,1.60E+04,1.81E+04,675.2,1694
75,2107,10.47,1307,404.6,431.2,7.701,5.529,5.80E+04,1.64E+04,1.86E+04,682.9,1700
76,2130,14.45,1315,409.5,432.5,11.14,6.608,5.93E+04,1.69E+04,1.90E+04,694.1,1707
77,2154,14.7,1333,414.5,438.5,11.45,6.514,6.07E+04,1.73E+04,1.94E+04,705.5,1713
78,2179,15.25,1354,419.3,444.6,10.6,9.298,6.20E+04,1.77E+04,1.99E+04,716.1,1722
79,2203,17.28,1367,424.5,448.2,12.6,9.346,6.34E+04,1.81E+04,2.03E+04,728.7,1732
80,2229,15.75,1385,429.6,455.2,12.65,6.197,6.48E+04,1.85E+04,2.08E+04,741.4,1738
81,2255,13.06,1397,433.8,460.4,10.64,4.844,6.62E+04,1.90E+04,2.12E+04,752,1743
82,2276,14.36,1395,438.4,459.3,11.34,6.044,6.76E+04,1.94E+04,2.17E+04,763.4,1749
83,2298,13.88,1414,443.5,465.9,11.69,4.376,6.90E+04,1.99E+04,2.22E+04,775,1753
84,2324,12.33,1436,448.8,473.8,10.62,3.417,7.04E+04,2.03E+04,2.26E+04,785.7,1757
85,2350,15.43,1460,454.1,480.7,12.76,5.345,7.19E+04,2.08E+04,2.31E+04,798.4,1762
86,2376,17.65,1478,460,485.6,14.04,7.218,7.34E+04,2.12E+04,2.36E+04,812.5,1769
87,2407,14.17,1506,465.1,495.8,9.379,9.588,7.49E+04,2.17E+04,2.41E+04,821.8,1779
88,2432,12.9,1506,469.9,495.6,6.75,12.3,7.64E+04,2.22E+04,2.46E+04,828.6,1791
89,2457,15.21,1520,474.5,498.9,7.574,15.27,7.79E+04,2.26E+04,2.51E+04,836.2,1806
90,2479,13.36,1525,479.7,501.9,7.145,12.42,7.94E+04,2.31E+04,2.56E+04,843.3,1819
91,2504,11.27,1550,485.3,511.1,6.259,10.03,8.10E+04,2.36E+04,2.61E+04,849.6,1829
92,2533,11.46,1571,490.7,518.9,8.904,5.106,8.25E+04,2.41E+04,2.66E+04,858.5,1834
93,2560,11.53,1584,495.7,523.2,8.883,5.296,8.41E+04,2.46E+04,2.71E+04,867.4,1839
94,2585,13.2,1594,500.5,525.7,8.93,8.532,8.57E+04,2.51E+04,2.77E+04,876.3,1848
95,2079,9.727,14.4,506.1,5.21E-13,5.059,9.337,8.57E+04,2.56E+04,2.77E+04,881.3,1857
96,1568,10.03,15.03,511.4,0,5.035,9.992,8.57E+04,2.61E+04,2.77E+04,886.4,1867
97,1051,8.452,11.67,516.9,0,5.237,6.43,8.58E+04,2.66E+04,2.77E+04,891.6,1873
98,528.3,9.05,12.25,522.6,0,5.848,6.403,8.58E+04,2.71E+04,2.77E+04,897.5,1880
99,0.7247,11.09,16.27,527.6,0,5.905,10.36,8.58E+04,2.77E+04,2.77E+04,903.4,1890
100,-532.2,532.2,1064,532.9,0,0,1064,8.68E+04,2.82E+04,2.77E+04,903.4,2955
